amount,oldbalanceOrg,newbalanceOrig,oldbalanceDest,newbalanceDest,isFraud
3236.73,11672.78,8020.99,2905.54,6155.89,0
1078.86,2542.77,1646.51,12800.11,14010.78,0
1550.74,6633.48,4869.05,8424.74,9946.13,0
3061.2,3913.96,1418.98,47.56,3097.61,0
169.06,95.05,0.0,79660.67,79836.21,0
454.26,1020.44,479.76,3229.58,3670.25,0
9.57,36.48,26.27,25.1,35.54,0
7.62,37.13,28.03,78.76,84.87,0
1113.9,4986.31,3728.94,956.77,2063.1,0
188.64,505.24,350.98,44360.03,44580.59,0
440.15,1830.0,1477.21,17401.02,17861.58,0
2657.1,2169.49,21.7,75.38,2718.03,0
822.6,2529.68,1722.9,5288.81,6200.92,0
396.32,1846.59,1430.71,2.77,382.13,0
416.91,952.11,538.29,105.54,516.99,0
41.91,202.03,157.15,27876.73,27913.53,0
3.59,5.36,1.84,14.34,17.39,0
38012.3,17456.23,0.0,132.6,244.77,1
18.75,53.65,36.95,2.75,23.24,0
107.42,492.26,363.67,3.51,109.56,0
5887.74,11191.16,5666.43,13.55,6936.01,0
22.32,91.53,70.77,8.34,27.77,0
4.59,5.79,1.84,594.09,598.21,0
34.21,131.88,91.0,54178.97,54215.08,0
38.18,114.79,80.73,6.9,38.28,0
1050.74,1352.91,240.46,38878.85,39931.02,0
408.83,1525.51,1191.57,4229.07,4576.34,0
3149.77,11691.64,9088.07,17.42,2740.58,0
1073.65,3027.11,1860.37,65.83,1144.68,0
105.37,159.59,48.52,23.01,131.29,0
4130.62,4524.36,96.07,16031.05,19685.88,0
12.22,58.75,47.85,7911.75,7922.85,0
3.33,11.49,7.51,77.36,80.4,0
6.11,25.31,19.06,4.94,10.17,0
1810.28,6582.84,4432.55,17.39,2164.9,0
173.62,734.87,584.57,2775.65,2962.62,0
11.61,14.29,3.12,7.35,17.15,0
247.0,675.86,445.09,993.39,1226.28,0
10.71,37.51,25.71,2303.58,2312.89,0
1432.08,1382.32,0.0,5246.36,6526.29,0
150.72,177.07,27.16,10.79,188.01,0
83.86,281.18,213.55,426.99,498.67,0
41.0,180.78,145.11,444.68,491.91,0
790.4,2744.17,2095.96,26585.16,27483.63,0
70.55,46.77,0.0,471.48,548.91,0
5.98,29.1,23.62,238.59,244.56,0
7.86,8.86,2.2,10.57,17.67,0
15632.06,24175.45,9455.22,5648.29,23349.91,0
9674.28,47281.62,39243.11,2484.15,13451.2,0
1476.4,5860.79,4101.6,7233.28,8724.63,0
29.75,140.26,112.71,3711.22,3735.59,0
16690.37,68927.7,49346.11,41279.53,55920.06,0
3007.18,10323.06,7096.08,42226.66,44699.87,0
1723.33,3068.37,1299.47,80.2,1582.83,0
155.13,305.76,152.15,20.22,175.87,0
31.51,150.07,116.2,72493.52,72529.49,0
6.47,28.29,21.34,6928.78,6935.65,0
9167.52,19414.12,12041.52,118273.07,127810.6,0
164.35,358.23,167.07,643.24,823.89,0
16.8,30.91,15.0,107438.83,107456.57,0
42.67,83.96,43.79,10.48,52.18,0
499.18,2182.92,1702.39,1797.24,2359.39,0
13.34,7.3,0.0,641.68,654.01,0
6060.38,14922.09,9162.26,2.8,7101.0,0
2506.58,11888.15,9508.07,22.69,2144.45,0
1763.7,5188.56,3732.83,14.71,1875.54,0
132.8,335.59,207.22,5.31,138.14,0
769.53,1466.47,804.83,92008.83,92755.51,0
521.59,434.28,0.0,111194.82,111701.75,0
942.58,1423.47,543.28,49476.35,50246.33,0
5.81,5.27,0.0,144017.43,144023.82,0
114.69,122.74,0.0,25268.31,25376.23,0
3.95,4.88,0.53,77187.42,77191.33,0
231.81,430.97,157.64,23.9,287.94,0
52.92,29.08,0.0,45.87,100.42,0
9.98,47.66,37.41,35693.61,35704.99,0
6.89,7.28,1.66,530.65,536.54,0
538.51,1197.74,745.23,7235.08,7726.59,0
12.62,56.26,44.31,1314.22,1325.47,0
11227.05,10997.52,0.0,78.42,13040.43,0
507.53,1358.26,783.39,62.38,627.07,0
61.67,265.28,209.62,10198.29,10268.2,0
554.6,1667.31,1057.45,946.76,1516.6,0
3.34,4.83,1.86,141.63,144.6,0
15169.36,57792.12,45619.89,2410.13,16833.15,0
208.67,744.12,572.64,275.7,488.57,0
3116.97,6638.64,3415.0,505.64,3022.88,0
5.72,4.05,0.0,4707.94,4713.98,0
217.01,116.19,0.0,418.89,666.7,0
225.06,948.46,767.82,93840.02,94049.38,0
12587.23,24507.44,11577.79,565.17,14057.62,0
466.64,522.62,0.0,106942.97,107406.54,0
192.75,546.15,386.67,30472.19,30626.7,0
30.05,139.54,106.65,49030.65,49058.1,0
53.74,28.92,0.0,12040.47,12094.81,0
294.73,221.83,0.0,2100.19,2421.43,0
141.2,335.59,219.9,952.74,1088.41,0
3.3,11.69,7.83,1174.04,1176.93,0
4612.97,12189.55,7618.21,24.93,3827.95,0
8651.14,39267.25,30963.52,28.74,9422.81,0
9.6,6.7,0.0,3.96,13.04,0
397.95,808.09,355.13,9908.65,10330.02,0
7.22,15.03,7.15,10.73,17.15,0
1153.04,2341.33,1036.38,1641.95,2912.46,0
34.16,92.05,63.02,12.39,44.42,0
1027.42,4168.86,3034.21,5.65,849.11,0
1887.39,3643.55,1885.99,962.5,2857.62,0
2745.8,10571.81,7422.38,40297.91,43297.91,0
7.17,8.31,1.51,136.48,144.89,0
10343.43,31270.9,22771.48,66936.69,79228.23,0
21.58,47.21,26.37,3.04,24.24,0
3.81,11.15,6.95,456.29,460.27,0
400.88,394.82,0.0,13.66,423.72,0
76.58,366.86,282.2,87.67,165.28,0
4760.5,21793.4,17917.83,3.53,4030.04,0
3921.63,16544.51,13129.3,4.01,4193.67,0
47.19,213.18,164.79,6911.56,6967.53,0
14416.01,16723.95,2969.27,3640.73,15904.73,0
37.27,103.12,63.16,26.89,61.36,0
280.2,540.95,208.91,54865.43,55098.23,0
27.21,122.26,93.31,5259.26,5285.41,0
12386.87,16752.86,4775.44,109.72,12405.78,0
11.96,17.82,5.66,240.85,252.13,0
4.07,14.61,9.87,67.91,71.94,0
136.44,122.8,0.0,25249.97,25402.94,0
20565.7,78060.25,55000.51,622.39,18834.75,0
8309.01,14179.93,6530.59,12.04,9178.45,0
2292.67,7965.22,5448.49,25.0,2586.64,0
8243.11,36506.01,29451.78,70.98,8581.61,0
8442.38,27380.76,18094.9,229.22,8047.95,0
289.95,422.48,88.28,1842.8,2183.38,0
46.68,33.67,0.0,109734.03,109778.17,0
2830.23,1983.32,0.0,48.48,2369.18,0
1048.33,943.13,0.0,100.73,996.46,0
78.49,244.04,177.8,3.54,94.32,0
6.36,13.15,6.84,163.71,169.18,0
2255.45,3595.15,1175.03,4563.53,6771.52,0
28.85,42.9,14.23,108409.75,108440.82,0
12472.96,59478.77,47804.53,9340.22,22180.61,0
23.78,24.6,0.0,9.95,35.19,0
8.21,15.37,6.63,48553.65,48561.36,0
4817.52,12629.84,7652.59,27597.22,32727.37,0
10.8,5.42,0.0,21.74,30.42,0
13.65,63.39,48.62,79044.93,79057.29,0
598.51,566.16,0.0,7009.98,7518.38,0
7122.82,25436.43,19542.24,14927.95,21923.31,0
15.93,53.05,36.88,424.34,438.01,0
44.39,183.81,135.45,24.72,69.95,0
2970.97,10194.13,7461.84,17857.12,20448.6,0
17093.23,67727.54,53090.6,518.98,17026.01,0
246.33,590.11,303.2,113747.21,113951.59,0
9.93,26.8,15.43,14.68,24.37,0
3.08,11.27,8.04,135.56,139.02,0
21.48,65.68,41.74,8875.21,8895.12,0
8.9,24.94,14.37,1473.06,1482.69,0
1210.67,1725.22,481.01,319.27,1494.1,0
8.14,13.52,6.21,6110.21,6117.48,0
259.04,547.41,273.99,8663.39,8902.07,0
1405.8,761.63,0.0,1556.65,2851.44,0
507.78,1207.57,661.17,90.93,647.94,0
16.41,8.41,0.0,2456.16,2470.61,0
3778.64,11496.77,7087.65,1094.08,5594.85,0
1700.48,6237.58,4364.55,17574.71,19402.72,0
2102.44,6369.7,4349.82,3597.65,5616.96,0
8.84,32.01,21.45,641.94,652.54,0
8.28,4.14,0.0,3.34,10.68,0
11476.57,8808.14,0.0,17.05,12700.55,0
97.34,354.62,240.02,110.23,198.65,0
40.79,167.77,134.49,2028.73,2070.23,0
220.8,823.51,578.47,16579.9,16761.35,0
1059.74,3691.66,2680.1,104767.12,105973.72,0
14773.78,54415.11,37460.28,1993.92,15976.72,0
35.8,137.05,95.82,8244.35,8281.36,0
11195.6,42092.08,29424.85,2529.69,15638.77,0
3.4,12.99,9.21,308.91,311.67,0
402.13,335.01,0.0,2222.62,2700.03,0
817.11,641.2,0.0,223.05,1048.39,0
7.05,14.98,8.19,399.43,407.27,0
9.61,27.62,19.49,61147.41,61156.92,0
118.16,464.58,330.79,1342.72,1475.81,0
16253.88,32608.29,15405.14,8.2,18736.3,0
580.79,1009.43,402.45,863.87,1417.17,0
12054.69,48417.87,37587.56,97329.98,110458.18,0
3786.69,6142.07,2181.14,8.17,4550.1,0
182.44,765.11,585.99,118546.48,118747.68,0
3174.39,4117.5,314.24,142065.55,145820.07,0
3.19,6.76,3.11,1297.05,1300.54,0
7.26,16.73,9.39,105.3,112.07,0
4745.05,8767.89,3437.39,2.99,5368.98,0
3538.13,1822.51,0.0,3.22,3776.76,0
22.06,34.41,15.87,194.23,212.17,0
322.77,651.81,312.17,14969.79,15250.27,0
635.33,1214.31,521.35,86345.22,86919.88,0
6698.58,27028.77,21527.74,14.92,7366.11,0
618.91,441.38,0.0,581.31,1273.78,0
111.4,250.68,137.62,677.89,803.86,0
78.86,52.74,0.0,178.28,243.49,0
125.58,588.71,466.94,1032.27,1136.36,0
960.43,3895.45,2941.9,71342.29,72225.67,0
6683.62,32881.59,25070.28,338.26,7506.42,0
161.59,742.62,592.94,12.37,196.08,0
25.29,48.59,26.65,4104.94,4133.97,0
22.87,82.61,64.25,3.84,24.03,0
2239.77,4209.63,2308.86,84226.76,86706.11,0
4226.46,19006.18,14355.61,84016.14,88480.59,0
7.01,16.46,9.6,7.49,15.7,0
4.95,10.85,6.5,1164.16,1169.65,0
572.44,2640.84,1969.25,17523.43,18102.42,0
10.13,43.21,31.91,450.5,461.78,0
4545.89,22042.39,18197.72,526.62,4723.89,0
44.39,35.48,0.0,117265.99,117315.46,0
9.92,15.82,4.51,34.32,45.36,0
10815.49,20050.4,8402.41,888.39,13240.58,0
12.06,29.06,14.85,9.63,20.45,0
35.25,92.68,63.4,75.7,115.87,0
10.83,19.62,7.6,31569.56,31578.96,0
7.69,31.2,24.81,7193.52,7202.05,0
3.29,4.95,1.87,2280.25,2284.11,0
4.48,16.28,11.35,9.51,13.16,0
13.09,56.72,42.53,31498.15,31511.9,0
4.39,14.12,10.6,72.18,76.85,0
555.74,1163.56,674.08,977.32,1603.12,0
1244.43,1674.39,291.29,35.45,1082.18,0
93.94,103.76,23.87,835.56,944.88,0
47.56,183.05,138.79,1317.56,1374.51,0
254.87,665.49,442.85,115.03,387.45,0
7151.26,5066.22,0.0,709.91,7660.74,0
5768.6,28423.49,21878.15,236.65,6316.79,0
4.02,14.15,10.84,5839.79,5843.09,0
43950.68,186988.9,0.0,1077.94,1093.27,1
22.89,56.58,31.93,42567.11,42586.06,0
25.65,123.11,102.0,4.69,28.52,0
464.56,649.39,160.04,3.64,401.19,0
115.16,153.52,46.0,21.63,147.2,0
4.23,19.06,14.27,10.02,14.41,0
78.46,354.07,266.27,884.35,969.06,0
303.01,831.94,493.31,24.57,274.8,0
6.79,7.24,0.73,3.24,9.68,0
4920.31,9218.07,3662.95,60.88,4796.52,0
4.34,16.9,12.33,736.0,740.52,0
11198.97,48233.56,37578.04,7022.02,16439.6,0
6.63,13.69,8.17,337.76,344.78,0
5389.32,4179.7,0.0,107996.88,113159.2,0
9171.7,32062.15,23802.48,24.39,10685.28,0
18327.1,70151.31,53293.42,776.41,18735.57,0
3707.94,8928.96,4586.92,44.04,3161.78,0
3026.91,9455.88,5823.66,19406.18,21952.9,0
882.14,4360.57,3604.16,21.44,816.88,0
3013.83,4829.64,1282.04,106682.45,109382.61,0
9.12,28.08,18.21,7206.02,7216.22,0
338.53,1099.99,761.65,1243.29,1611.93,0
278.11,826.26,497.57,949.4,1180.42,0
6112.86,26964.33,20328.96,146.52,7118.69,0
175.07,564.17,382.54,3.43,150.22,0
86.99,242.31,165.43,63982.28,64079.21,0
859.26,905.29,133.87,17056.91,17782.68,0
29.91,109.6,74.77,11.98,40.41,0
9.56,10.46,1.99,10.41,20.93,0
200.52,124.24,0.0,80.57,261.33,0
115.82,312.53,207.54,12022.48,12120.39,0
22.05,67.83,45.95,688.71,713.29,0
74.26,370.98,300.23,3627.54,3707.47,0
73.52,272.43,186.09,2.91,87.94,0
51.8,223.71,173.6,70315.68,70370.41,0
82.7,170.26,74.69,16.82,85.43,0
1302.04,3632.84,2281.5,90.73,1464.97,0
39.33,192.1,152.39,91003.77,91048.17,0
13901.07,33060.2,21048.59,8619.9,20206.04,0
10374.77,42876.92,33452.35,751.25,9614.18,0
206.07,590.79,354.46,36028.88,36249.59,0
52.21,78.72,20.66,5.33,63.62,0
336.61,1047.49,717.96,6.29,323.13,0
5636.65,8349.45,1790.59,14.98,6182.06,0
966.12,496.22,0.0,49.91,887.49,0
3787.75,5914.69,2714.67,6629.78,10332.69,0
328.49,449.75,107.34,950.13,1311.2,0
809.37,1755.64,849.52,294.86,1006.78,0
36.36,163.57,122.73,14890.42,14924.58,0
2026.45,4550.07,2854.87,89.01,2220.08,0
16.8,72.3,57.35,6.96,22.73,0
1412.59,4238.14,2874.69,213.67,1837.67,0
6288.46,3359.71,0.0,12463.06,19900.36,0
8.93,12.05,4.52,500.17,509.61,0
685.0,3213.16,2492.87,126579.68,127342.06,0
6.4,20.6,14.18,33436.4,33443.84,0
1865.79,8737.42,7129.12,16325.64,18342.08,0
5.81,11.01,5.0,13426.51,13432.96,0
12375.31,46092.22,35884.99,1623.54,11920.88,0
9.36,37.2,28.28,54865.87,54876.44,0
15213.25,74402.65,57409.34,1787.54,15628.95,0
3670.04,2135.21,0.0,163.68,3203.65,0
568.58,2720.69,2210.05,23.45,612.38,0
3113.86,7044.04,3482.4,20827.8,23601.36,0
3484.34,14881.5,10851.15,161.18,3059.94,0
13551.38,39992.94,25862.2,16316.56,30461.82,0
26.59,80.86,49.14,135000.13,135022.45,0
550.42,1165.35,670.81,218.28,853.96,0
6.39,27.02,21.73,115.37,122.96,0
696.1,1175.06,383.33,17.66,780.08,0
12.7,34.48,21.83,507.18,518.8,0
439.02,1326.19,914.13,3619.91,4069.91,0
47648.94,147793.67,0.0,84.83,466.41,1
180.16,472.44,323.65,568.11,757.02,0
299.97,1068.28,817.42,1000.05,1271.68,0
2631.5,7062.48,4763.98,56.13,2640.29,0
3616.28,12537.44,8240.72,3.52,3155.28,0
228.01,805.71,597.64,29.13,301.52,0
599.65,2214.2,1538.5,18669.49,19198.96,0
11862.37,49879.48,40297.47,57.9,11526.13,0
7.99,23.44,16.02,3.16,10.37,0
7.8,10.68,1.61,291.32,299.25,0
5.99,21.31,16.07,4950.2,4957.16,0
1013.1,858.13,0.0,10684.01,11560.7,0
117.62,174.7,41.72,257.98,358.7,0
2889.66,11745.63,9293.59,1466.22,3863.56,0
1142.62,2808.35,1869.95,9902.98,11086.44,0
54.75,150.08,85.13,48129.79,48186.78,0
8824.6,43622.52,35133.99,3099.18,13058.24,0
2598.76,4049.59,1286.72,5428.89,8376.88,0
31.03,18.25,0.0,8.05,34.14,0
72.08,72.16,8.15,277.26,361.18,0
46.06,73.71,28.39,47980.37,48032.5,0
11.23,42.3,30.28,15.93,27.82,0
10.28,41.03,31.6,82.23,91.88,0
12396.22,37742.77,23439.35,4710.73,18324.69,0
139.93,230.56,74.89,55426.53,55573.21,0
85.62,243.83,156.44,5.2,85.79,0
1933.66,1096.98,0.0,39160.03,40717.21,0
394.23,1406.65,993.57,30.68,439.49,0
12397.62,40470.03,26923.58,35221.57,47998.51,0
3049.44,1823.82,0.0,48126.64,50754.74,0
203.23,848.8,616.9,13770.81,14007.07,0
80.42,316.49,236.41,70402.36,70471.82,0
19529.55,36852.39,13922.01,106163.85,124030.23,0
1736.87,5834.48,3781.12,71471.01,73118.94,0
14196.52,45524.24,33992.6,768.48,16003.99,0
7.9,9.04,1.51,446.06,452.64,0
5737.64,7858.66,2060.84,8.65,6210.75,0
840.22,3003.31,2149.78,29.28,840.76,0
8.14,38.27,29.08,3554.68,3561.79,0
541.49,1674.98,1211.23,11.03,468.5,0
1306.19,3990.62,2620.44,86351.88,87612.27,0
3.04,10.37,6.79,33.03,36.0,0
162.21,402.7,208.26,7.15,145.83,0
4576.07,3403.56,0.0,36.15,4580.12,0
38.79,88.61,42.49,4.66,43.49,0
168.5,766.87,623.83,16.89,217.81,0
145.59,600.16,452.42,1745.03,1903.04,0
41.16,192.36,155.38,65.42,98.55,0
10572.14,12556.98,1534.93,18265.42,28739.74,0
3076.8,8543.69,6036.68,233.24,2721.25,0
7.35,23.01,16.43,6999.62,7007.0,0
21446.4,30982.86,11247.23,6576.33,26632.46,0
7426.43,10429.43,1768.41,12.1,8637.18,0
34.99,140.63,104.47,5.07,39.97,0
5074.94,17880.71,12383.11,28622.08,34407.32,0
7.08,24.16,16.58,6059.37,6066.69,0
21849.7,37176.03,16267.72,18.63,20963.87,0
1086.98,3022.31,2146.63,4817.02,5786.48,0
944.94,570.57,0.0,101.92,927.1,0
6.13,6.65,0.62,5.07,11.92,0
8719.36,24694.35,14435.87,33.66,10088.78,0
3.53,6.68,3.5,11090.6,11093.88,0
23.75,115.08,89.45,199.94,223.64,0
9.85,25.82,14.68,1089.51,1098.52,0
2953.99,2587.81,0.0,12.21,2913.38,0
16.18,9.39,0.0,7.53,26.1,0
9855.1,37091.25,25536.01,37.78,8465.76,0
998.67,1270.09,228.28,491.72,1407.1,0
3.76,5.06,1.29,30239.46,30243.51,0
2.85,6.86,3.69,12055.88,12058.51,0
4.33,7.31,3.43,15.81,19.41,0
634.81,2078.75,1364.57,5.97,608.89,0
3689.83,9909.47,5998.31,32.48,3982.65,0
23.27,23.31,0.0,32067.98,32095.76,0
5679.85,22897.37,16409.34,791.81,7362.59,0
4.55,10.99,6.23,19456.34,19461.0,0
3672.67,11931.6,8939.5,158.44,4238.53,0
11500.65,5954.35,0.0,1798.8,13627.85,0
2832.67,9401.07,6140.08,1885.71,4711.46,0
1455.47,2580.29,1050.91,2681.17,3944.89,0
5124.67,13963.03,8038.8,478.98,5177.62,0
3.9,7.17,3.45,37.77,41.6,0
16.71,83.27,66.53,302.88,322.84,0
8.37,12.88,3.3,123295.97,123304.7,0
254.88,1174.45,892.86,54.23,354.47,0
2223.18,10295.21,8180.96,7888.11,9896.69,0
788.48,1888.02,1250.1,88611.83,89264.37,0
5768.57,10775.77,4129.59,1378.58,8250.97,0
10.99,24.34,12.09,591.52,601.76,0
2021.49,10010.47,8030.09,10.27,2060.31,0
15.45,50.75,35.01,10785.3,10798.1,0
31.09,91.76,64.35,61475.94,61511.51,0
1618.32,1070.73,0.0,131601.4,132896.5,0
18431.99,79539.45,63590.65,24.98,21450.41,0
667.74,585.69,0.0,67549.07,68127.43,0
4.44,3.16,0.0,159.64,163.52,0
697.0,1210.59,551.93,2466.8,3254.63,0
3.98,10.51,6.03,31.82,35.62,0
7764.45,35163.64,27480.25,41.77,7048.47,0
1613.57,6543.6,5207.06,2461.53,4137.35,0
12.91,17.94,5.75,562.93,574.57,0
6.21,13.5,8.14,110016.06,110021.74,0
14.18,56.88,41.6,49.85,61.45,0
18402.55,52850.58,31419.75,42548.64,61241.3,0
168.52,216.58,30.33,430.62,574.16,0
3154.95,7200.38,3694.05,11.94,3592.33,0
835.2,2770.12,1814.03,37.73,956.79,0
469.52,2291.03,1769.55,11077.77,11507.0,0
10.04,34.92,24.6,24172.51,24182.69,0
13551.06,7763.11,0.0,4.2,13974.68,0
40.94,150.35,110.79,247.23,290.9,0
493.81,804.36,395.33,623.84,1101.63,0
1477.32,6470.24,4871.44,2357.52,3924.98,0
937.39,2088.04,1067.54,3486.97,4300.4,0
12904.74,18044.28,6565.66,25239.01,37994.15,0
10.34,26.94,14.72,55.0,63.66,0
263.8,434.85,218.27,9.31,319.65,0
103.16,161.05,48.15,21.14,120.23,0
193.93,597.24,366.97,81251.82,81454.86,0
7.95,31.43,24.09,1111.54,1119.46,0
9.09,38.7,28.11,30.27,37.64,0
33.2,76.01,38.47,15436.85,15464.24,0
42.2,33.79,0.0,1732.09,1770.32,0
127.88,342.45,191.36,154.56,291.39,0
664.4,1629.12,923.78,3.32,705.31,0
821.94,1139.54,319.28,14922.88,15642.22,0
110.64,501.49,383.08,7272.51,7382.65,0
107.67,525.82,421.95,48.58,150.52,0
19.27,14.12,0.0,50.49,70.29,0
541.72,2210.68,1759.48,53.86,559.76,0
47.15,160.58,115.73,4335.61,4390.23,0
3.76,6.3,2.08,69.13,72.85,0
117.4,394.25,255.93,82.6,196.55,0
193.87,209.17,0.0,171.2,380.84,0
20.7,16.82,0.0,130903.36,130926.38,0
469.71,2334.79,1851.66,428.84,886.82,0
442.28,1487.68,1032.0,172.63,545.73,0
1507.22,2471.09,1159.18,478.31,1735.39,0
926.61,2339.83,1382.96,7414.84,8277.28,0
964.78,4607.21,3695.39,45278.98,46333.52,0
46.8,115.8,60.72,147092.95,147142.63,0
3251.56,14801.1,11867.93,570.61,3546.09,0
380.81,1679.24,1247.41,429.05,734.37,0
131.99,270.41,117.47,102.87,242.39,0
760.6,2762.53,1930.17,14328.69,15108.88,0
69.82,242.43,180.58,3682.87,3760.3,0
274.42,1089.57,841.45,147.97,442.83,0
2059.77,4421.67,1973.74,815.63,2666.87,0
7923.8,5824.5,0.0,26.15,8688.13,0
10823.93,13742.89,4576.81,5619.12,16384.09,0
252.82,827.86,526.64,43.53,303.91,0
293.68,1171.18,844.97,127.1,403.98,0
3636.71,14191.24,10196.12,5.75,4065.18,0
46.07,144.04,104.23,30.53,71.0,0
5097.17,4492.71,0.0,23.19,4517.95,0
232.12,134.12,0.0,8851.78,9059.52,0
7.71,30.99,23.81,5648.5,5657.1,0
5.2,15.46,10.9,1011.9,1017.57,0
5313.14,21370.54,17096.77,192.02,5015.47,0
4.48,5.52,0.82,48220.73,48224.57,0
33.97,79.27,48.1,45474.95,45502.51,0
54.99,254.95,191.96,2061.5,2120.53,0
12.9,16.41,4.63,3779.81,3792.91,0
45.83,35.6,0.0,17343.23,17392.77,0
2173.8,7479.18,4905.01,7711.94,10066.82,0
3.1,9.84,6.16,32.26,35.79,0
30387.91,119588.52,0.0,690.19,5183.61,1
6056.77,27734.6,20639.98,14.45,6864.11,0
77.51,300.15,233.12,19994.04,20069.56,0
10.83,6.35,0.0,3602.36,3614.09,0
606.41,1614.11,1079.46,129314.59,129933.41,0
7.98,36.17,28.26,12.2,21.53,0
72.55,177.85,96.85,743.69,812.47,0
15151.62,73177.11,55935.0,7817.45,24119.55,0
21145.45,72659.91,55708.33,37826.52,59801.67,0
2832.58,2811.5,104.12,32447.38,35844.98,0
44.64,124.62,71.16,25.08,62.17,0
1324.76,4809.25,3437.16,133991.32,135368.07,0
1554.11,1234.21,0.0,132557.35,133945.13,0
89.17,182.88,97.67,115802.93,115905.8,0
869.57,3240.77,2432.92,2320.97,3292.98,0
2.99,3.61,0.68,25624.08,25627.26,0
17.84,36.88,19.44,6.27,23.97,0
306.68,1105.46,797.94,45.15,374.07,0
11.87,47.36,35.66,7.48,19.61,0
12.1,34.28,22.1,707.1,718.17,0
5047.96,24259.78,20164.9,110418.37,116111.3,0
19974.21,93159.49,76745.27,3431.93,23506.62,0
404.93,1065.15,681.09,434.32,799.91,0
5175.17,6320.1,348.07,16667.12,22182.51,0
20189.04,80315.88,57778.19,1157.13,17458.91,0
9.72,15.49,7.29,417.43,428.01,0
153.58,659.27,506.01,2758.96,2910.72,0
93.05,292.38,195.44,757.34,855.39,0
5.59,12.71,7.16,3155.8,3160.62,0
2435.66,7316.05,4687.91,18564.51,21212.81,0
134.83,390.69,229.04,439.92,586.79,0
185.66,865.42,709.73,261.19,464.79,0
10.55,15.45,4.83,1268.16,1278.57,0
13.85,64.77,50.85,57084.62,57099.25,0
9546.53,6119.66,0.0,285.09,10019.71,0
4.06,16.08,12.56,30492.83,30496.46,0
22.1,102.51,79.19,2413.4,2431.28,0
37.66,85.61,54.81,3.12,39.48,0
224.03,185.68,0.0,511.95,764.2,0
532.73,2195.38,1627.88,27.55,522.4,0
230.35,988.87,774.14,14.21,267.5,0
5.8,11.68,4.75,35.83,41.95,0
24.36,69.03,41.47,6881.64,6904.57,0
5389.97,22328.55,16853.34,2700.55,7013.77,0
844.12,1151.54,141.8,997.63,1818.45,0
936.68,3119.51,2059.15,631.41,1527.94,0
1132.1,2759.88,1791.72,196.56,1165.07,0
2607.45,3350.24,647.82,46734.92,49674.8,0
38532.32,120847.36,0.0,77419.71,77425.14,1
73.66,144.45,66.28,12195.42,12257.92,0
349.24,1643.15,1232.34,64.75,376.4,0
57.17,174.95,117.96,63101.82,63162.02,0
5433.34,15296.45,10781.6,22258.72,28671.93,0
209.17,503.03,295.59,10.64,256.12,0
